"","MouseID","ACP1","ACP2","ACP3","ACP4","Comportamento","Tratamento","Combinacao","gaiola","periodo_dia"
"1","363",1.05395115997864,1.52663715412625,3.60349000594451,-1.41000357560387,"C/S","Memantine","CS-m",1,2
"2","3476",0.8516848239241,0.174949748946896,1.0074343702032,-3.24943103416,"C/S","Saline","CS-s",1,1
"3","3530",2.79962556041005,-4.26224429137184,-0.790354824021898,2.92266158309818,"S/C","Memantine","SC-m",1,4
"4","3426",3.21852639444347,-0.0593413501989993,0.0324409381493011,-1.41241631363163,"S/C","Saline","SC-s",1,3
"5","3429",-5.96807789970787,1.71260808296225,-0.710648711017715,4.41464240860555,"C/S","Memantine","CS-m",2,1
"6","3483",-6.06998240056333,1.64879311204918,-0.388262951229325,-3.3834781185318,"C/S","Saline","CS-s",2,4
"7","3501",6.75824112255218,-4.84294189322698,-2.2987116190164,0.91858080847741,"S/C","Memantine","SC-m",2,3
"8","3421",-5.12280461465656,-3.95054826513001,-1.75990038704083,-2.9847387840642,"S/C","Saline","SC-s",2,2
"9","3522",0.782659627427669,1.55421598717652,3.75701557966923,-0.452783450612485,"C/S","Memantine","CS-m",3,4
"10","50810E",-0.549524236821524,1.88170836019049,0.92700774761939,-2.25321565521457,"C/S","Saline","CS-s",3,3
"11","3606",-0.997229042576321,-2.57337404709236,-3.06310695312632,4.68373017336701,"S/C","Memantine","SC-m",3,2
"12","3491",3.55951450498796,-2.00494272127222,0.879859927133706,-0.665666216290605,"S/C","Saline","SC-s",3,1
"13","3505",1.85618582952307,5.55970855997501,2.42926220160589,1.56275160812301,"C/S","Memantine","CS-m",4,3
"14","50810B",-3.89884129452856,3.81909903178143,-2.23276375077023,3.01582239702608,"C/S","Saline","CS-s",4,2
"15","293",0.961048860973748,-4.63967048585236,-3.03834684418328,-1.97369444335273,"S/C","Memantine","SC-m",4,1
"16","3525",8.99086161887149,-2.97902614092882,2.3531420137009,1.48231256381103,"S/C","Saline","SC-s",4,4
